Metric,Panel,Model,1,5,22
RMSE,DJIA/YangZhang,Transformer,2e-05,3e-05,9e-05
RMSE,DJIA/YangZhang,PatchTST_lite,3e-05,3e-05,7e-05
MAE,SP500/CC,HAR,0.00011,0.00011,0.00011
MAE,SP500/CC,ARIMA,0.00011,0.00011,0.00011
MAE,SP500/CC,GARCH,0.00013,0.00013,0.00014
MAE,SP500/CC,LSTM,0.00012,0.00014,0.00013
MAE,SP500/CC,CNN_LSTM,0.00013,0.00013,0.00012
MAE,SP500/CC,Transformer,0.00011,0.00012,0.00013
MAE,SP500/CC,PatchTST_lite,0.00016,0.00012,0.00014
MAE,SP500/Parkinson,HAR,4e-05,5e-05,5e-05
MAE,SP500/Parkinson,ARIMA,4e-05,5e-05,5e-05
MAE,SP500/Parkinson,GARCH,8e-05,9e-05,0.0001
MAE,SP500/Parkinson,LSTM,5e-05,6e-05,7e-05
MAE,SP500/Parkinson,CNN_LSTM,5e-05,6e-05,7e-05
MAE,SP500/Parkinson,Transformer,5e-05,6e-05,7e-05
MAE,SP500/Parkinson,PatchTST_lite,5e-05,6e-05,7e-05
MAE,SP500/YangZhang,HAR,0.0,2e-05,5e-05
MAE,SP500/YangZhang,ARIMA,0.0,2e-05,5e-05
MAE,SP500/YangZhang,GARCH,4e-05,4e-05,7e-05
MAE,SP500/YangZhang,LSTM,1e-05,2e-05,7e-05
MAE,SP500/YangZhang,CNN_LSTM,1e-05,1e-05,5e-05
MAE,SP500/YangZhang,Transformer,1e-05,2e-05,4e-05
MAE,SP500/YangZhang,PatchTST_lite,2e-05,2e-05,5e-05
MAE,NASDAQ100/CC,HAR,0.0002,0.0002,0.0002
MAE,NASDAQ100/CC,ARIMA,0.0002,0.0002,0.0002
MAE,NASDAQ100/CC,GARCH,0.00023,0.00023,0.00024
MAE,NASDAQ100/CC,LSTM,0.00022,0.00023,0.00023
MAE,NASDAQ100/CC,CNN_LSTM,0.00022,0.00021,0.00022
MAE,NASDAQ100/CC,Transformer,0.0002,0.00021,0.00021
MAE,NASDAQ100/CC,PatchTST_lite,0.00021,0.0002,0.00023
MAE,NASDAQ100/Parkinson,HAR,7e-05,8e-05,9e-05
MAE,NASDAQ100/Parkinson,ARIMA,7e-05,8e-05,9e-05
