Index,Estimator,Horizon,Model,QLIKE,RMSE,MAE,QLIKE_rank
NASDAQ100,Parkinson,1,LSTM,-8.226289495829722,0.00019071987493595463,8.703283717676253e-05,3.0
NASDAQ100,Parkinson,1,CNN_LSTM,-8.232298234785079,0.00018825047835487039,7.871630223813507e-05,1.0
NASDAQ100,Parkinson,1,Transformer,-8.22929736331222,0.00019539243316263815,8.33588251320856e-05,2.0
NASDAQ100,Parkinson,1,PatchTST_lite,-8.209343911196889,0.0001975686945802519,7.934576915748387e-05,4.0
NASDAQ100,Parkinson,5,HAR,-8.03816579948295,0.00022268326569386794,8.2533106991384e-05,5.0
NASDAQ100,Parkinson,5,ARIMA,-8.034424614725054,0.00022199165386600103,7.997165880295816e-05,6.0
NASDAQ100,Parkinson,5,GARCH,-7.995643406103422,0.0002758480974079551,0.00015493300846726666,7.0
NASDAQ100,Parkinson,5,LSTM,-8.105825539553672,0.00022232976812419907,8.976939090125573e-05,2.0
NASDAQ100,Parkinson,5,CNN_LSTM,-8.127058061012427,0.0002207218829838195,9.626462637463235e-05,1.0
NASDAQ100,Parkinson,5,Transformer,-8.101980691315964,0.00022796593673480857,9.751710164019475e-05,3.0
NASDAQ100,Parkinson,5,PatchTST_lite,-8.098334789523074,0.00022408597527259536,9.177042469304402e-05,4.0
NASDAQ100,Parkinson,22,HAR,-7.944847576542812,0.00022737612562433694,8.746955563816853e-05,5.0
NASDAQ100,Parkinson,22,ARIMA,-7.905327303101177,0.00022768990400803073,8.631638372965998e-05,7.0
NASDAQ100,Parkinson,22,GARCH,-7.9350406356324115,0.0002745211698697208,0.0001648810663820552,6.0
NASDAQ100,Parkinson,22,LSTM,-8.025202967488067,0.00023415777504432608,0.00010803769355304264,2.0
NASDAQ100,Parkinson,22,CNN_LSTM,-8.08342969303364,0.0002346907150713142,0.00010715955551995773,1.0
NASDAQ100,Parkinson,22,Transformer,-7.958237311374981,0.0002872379850027221,0.00016177414385942868,4.0
NASDAQ100,Parkinson,22,PatchTST_lite,-7.975920850835221,0.00026975275072560506,0.0001343173844439602,3.0
NASDAQ100,YangZhang,1,HAR,-7.788394801333904,1.723259463216671e-05,8.345751381787182e-06,2.0
NASDAQ100,YangZhang,1,ARIMA,-7.788423072463294,1.7292306790026702e-05,8.338538332760687e-06,1.0
NASDAQ100,YangZhang,1,GARCH,-7.747595190989206,9.631404909666498e-05,5.321756364402869e-05,7.0
NASDAQ100,YangZhang,1,LSTM,-7.787887000936217,1.6331028887664372e-05,9.740824628448027e-06,4.0
NASDAQ100,YangZhang,1,CNN_LSTM,-7.788024252760656,1.8696832936096535e-05,9.946401187011776e-06,3.0
NASDAQ100,YangZhang,1,Transformer,-7.776933442736782,3.900997164825213e-05,2.6542741509268762e-05,5.0
